batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,1. Check the product's packaging,2. Visit the brand's official website,3. Use FSSAI databases
80,jiomart_goshudh_goshudh_bajra_atta_1_kg_pearl_millet_flour,Goshudh Bajra Atta 1 kg Pearl Millet Flour,Goshudh,essentials,flour,1.0,kg,235.0,jiomart,360.0,74.4,1.2,10.8,3.6,0.9,2.5,1.0,0.4,,,,,,,,,
81,jiomart_rentio_rentio_oiled_toor_dal_2_kg_premium_desi_oiled_turarhar_dal_2_packs_of_1_kg_each,RENTIO Oiled Toor Dal 2 kg | Premium Desi oiled Tur/Arhar Dal | 2 Packs of 1 kg each,Rentio,essentials,pulses,2.0,kg,415.0,jiomart,369.0,65.4,1.2,15.3,8.6,0.9,5.4,1.0,0.7,,,,,,,,,
82,jiomart_bb_organics_bb_organics_aromatic_gobindobhog_rice_1kg_west_bengal_origin_authentic_small_grain_ric,B&B Organics Aromatic Gobindobhog Rice (1kg)/ West Bengal Origin /Authentic Small Grain Ric,B&B Organics,essentials,rice,1.0,kg,361.0,jiomart,135.0,25.5,0.8,2.1,0.9,0.4,0.6,0.5,0.2,,,,,,,,,
83,jiomart_sams_sams_veg_hakka_noodles_900g_family_pack_chinese_food_for_breakfast_lunch_dinner_fast_foods_and_,"Sams Veg Hakka Noodles 900g Family Pack Chinese Food for Breakfast Lunch Dinner, Fast Foods and Soups",Sams,noodles_pasta,noodles-pasta,900.0,g,220.0,jiomart,370.0,65.0,4.0,6.0,11.0,3.5,2.0,450.0,1.0,,,,,,,,,
84,jiomart_farmley_farmley_roasted_cashew_thai_chilli_flavored_cashew_standee_pouch_pack_of_2_each_200g,Farmley Roasted Cashew Thai Chilli Flavored Cashew Standee Pouch Pack of 2 each 200g,Farmley,essentials,dry-fruits-nuts,2.0,each,589.0,jiomart,,,,14.0,12.0,6.0,2.0,250.0,,,,,,,,,,
85,jiomart_complan_complan_kesar_badam_200_g,Complan Kesar Badam 200 g,Complan,beverage,juice-drink,200.0,g,125.0,jiomart,370.0,73.0,64.0,3.0,13.0,8.0,1.0,20.0,0.4,,,,,,,,,
86,jiomart_add_me_add_me_garlic_pickle_500g_glass_pack_lassan_lahsun_ka_achar_tangy_and_delicious,"Add Me Garlic Pickle 500G Glass Pack Lassan lahsun ka achar, Tangy and Delicious",Add Me,flavourings,pickles-chutney,500.0,g,304.0,jiomart,60.0,10.0,5.0,0.0,3.0,1.5,0.0,200.0,2.0,,,,,,,,,
87,jiomart_add_me_add_me_home_made_mint_sauce_dhania_pudina_chutney_300_gm_classic_indian_pani_puri_bhelpuri_ch,Add me Home made Mint Sauce Dhania Pudina Chutney 300 gm Classic Indian Pani Puri Bhelpuri Chatni Recipe Green Chutney glass pack,Add Me,flavourings,pickles-chutney,300.0,g,249.0,jiomart,,,,,2.5,1.8,0.6,150.0,0.3,,,,,,,,,
88,jiomart_gropure_organic_gropure_organic_ancient_black_rice_45kg,GroPure Organic Ancient Black Rice - 4.5kg,Gropure Organic,essentials,rice,4.5,kg,999.0,jiomart,350.0,74.2,0.9,8.3,1.6,0.7,1.4,2.5,0.3,,,,,,,,,
89,jiomart_mtr_mtr_instant_multigrain_dosa_ready_mix_500_g,MTR Instant Multigrain Dosa Ready Mix 500 g,Mtr,ready_to_eat,ready-to-eat,500.0,g,160.0,jiomart,370.0,68.8,11.2,6.3,12.9,4.5,1.8,380.0,2.6,,,,,,,,,
90,jiomart_sunfeast_farmlite_sunfeast_farmlite_active_oats_and_almonds_biscuits_150_g,Sunfeast Farmlite Active Oats and Almonds Biscuits 150 g,Sunfeast Farmlite,snacks,biscuit,150.0,g,63.0,jiomart,560.0,24.5,4.2,8.3,26.6,10.1,2.5,250.0,0.7,,,,,,,,,
91,jiomart_choyo_choyo_chengu_veg_hakka_noodles_spice_in_every_strand_16,CHOYO Chengu Veg Hakka Noodles: Spice in Every Strand *16,Choyo,noodles_pasta,noodles-pasta,,,600.0,jiomart,,35.6,8.4,3.5,10.2,1.8,0.9,240.0,4.3,"Mustard oil, Wheat flour, Vegetable oil, Soy protein isolate, Salt, Sugar, Spices (including Turmeric, Coriander), Vegetable extract, Flavorings.",30g,7.0,,,,,,
92,jiomart_dhawak_dhawak_gems_chocolate_munchies_buttons_400_gms_jar_pack,Dhawak Gems Chocolate Munchies Buttons 400 gms |Jar Pack,Dhawak,chocolate,chocolate,400.0,g,199.0,jiomart,550.0,65.0,43.0,7.0,32.0,20.0,2.0,150.0,0.5,,,,,,,,,
93,jiomart_green_piece_green_piece_sauce_200gmgreen_chilli_sauce_200gmred_chilli_sauce_200gmtomato_sauce_200gmv,"Green Piece Sauce (200gm),Green Chilli Sauce (200gm),Red Chilli Sauce (200gm),Tomato Sauce (200gm),,Vinegar (200gm)(Pack of 5)",Green Piece,spread,sauce-ketchup-butter,200.0,g,246.0,jiomart,375.0,45.0,18.0,2.0,25.0,10.0,0.0,350.0,1.5,,,,,,,,,
94,jiomart_tata_sampann_tata_sampann_100_pure_afghani_black_raisins_seedless_200g_x_2,Tata Sampann 100% Pure Afghani Black Raisins Seedless (200g x 2),Tata Sampann,essentials,dry-fruits-nuts,200.0,g,350.0,jiomart,,,16.2,1.4,0.8,0.5,3.7,,,,,,,,,,,
95,jiomart_a_mangals_a_mangals_bru_tripti_blend_instant_coffee_powder_pack_of_2_each_200g_instant_coffee_2_x_20,A. MANGALS BRU Tripti Blend instant Coffee Powder pack of 2 ( each 200g ) Instant Coffee (2 x 200 g),A. Mangals,beverage,tea-cofee,,g,879.0,jiomart,,,,,0.5,0.3,0.0,10.0,0.0,,,,,,,,,
96,jiomart_24_mantra_organic_24_mantra_organic_wheat_daliya_500_g,24 Mantra Organic Wheat Daliya 500 g,24 Mantra Organic,essentials,flour,24.0,,51.0,jiomart,,65.0,1.5,10.3,2.6,0.8,4.9,,1.5,,,,,,,,,
97,jiomart_goshudh_goshudh_soya_chunks_5_kg_1kg_x_5_pack,Goshudh Soya Chunks 5 kg (1Kg X 5 Pack),Goshudh,essentials,wheat-soya,5.0,kg,850.0,jiomart,370.0,54.5,2.9,23.1,8.3,1.4,0.5,250.0,2.0,,,,,,,,,
98,jiomart_add_me_add_me_hand_made_sweet_lemon_pickle_without_oilhomemade_taste_nimbu_ka_achar_500gm,Add me Hand made Sweet Lemon Pickle without oil|Homemade Taste nimbu ka achar 500gm,Add Me,flavourings,pickles-chutney,500.0,g,229.0,jiomart,,10.2,8.5,0.9,0.1,0.05,0.2,150.0,3.0,,,,,,,,,
99,jiomart_indimix_indimix_masala_idli_mix_instant_ready_to_cook_nutritious_and_tasty_masala_idli_mix_soft_fluf,"Indimix Masala Idli Mix | Instant Ready To Cook | Nutritious and tasty Masala Idli Mix | soft, fluffy and delicious Idli - 200GM",Indimix,ready_to_eat,ready-to-eat,200.0,g,189.0,jiomart,350.0,60.0,10.0,5.0,15.0,8.0,2.0,200.0,1.0,,,,,,,,,
100,jiomart_grainka_grainka_ambemohar_rice_5_kg_aged_rice_premium_aromatic_rice_for_pulao_masala_rice,Grainka Ambemohar Rice | | 5 KG | | Aged Rice | | Premium Aromatic Rice | | For Pulao & Masala Rice,Grainka,essentials,rice,5.0,kg,1220.0,jiomart,,,0.5,2.1,0.8,0.4,0.6,,0.3,,,,,,,,,
101,jiomart_aladdin_dates_aladdin_dates_premium_dried_zahidi_brown_dates_500_gram_khajurkhajoor_dry_fruits_energ,"Aladdin Dates Premium Dried Zahidi Brown Dates 500 gram, Khajur/Khajoor Dry Fruits, Energy Booster, High Fibre, Soft & Juicy, Healthy Snacks",Aladdin Dates,essentials,dry-fruits-nuts,500.0,g,179.0,jiomart,375.0,76.2,34.8,4.3,6.9,0.5,7.2,1.0,0.4,,,,,,,,,
102,jiomart_fortune_fortune_xpert_pro_sugar_conscious_blended_vegetable_oil_1_l,Fortune Xpert Pro Sugar Conscious Blended Vegetable Oil 1 L,Fortune,essentials,oil,1.0,L,209.0,jiomart,,0.0,0.0,0.0,14.7,8.9,1.2,0.0,,,,,,,,,,
103,jiomart_kush_gold_kush_gold_urad_dal_white_whole_sabut_udid_urad_gota_1kg_pack,Kush Gold Urad Dal White (Whole) / Sabut Udid / Urad Gota (1Kg Pack),Kush Gold,essentials,pulses,1.0,kg,373.0,jiomart,372.0,73.8,2.3,12.5,0.9,0.4,6.8,2.3,1.5,"Urad Dal, Mustard Oil, Jaggery",30g,7.0,,,,,,
104,jiomart_true_elements_true_elements_nuts_berries_muesli_1kg_15_millets_12_seeds_almonds_cranberries,"True Elements Nuts & Berries Muesli 1kg - 15% Millets, 12% Seeds, Almonds & Cranberries",True Elements,snacks,breakfast,1.0,kg,461.0,jiomart,,55.0,10.5,8.0,18.0,3.0,4.0,,1.5,"Millets, Seeds, Almonds, Cranberries",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,
105,jiomart_momsy_momsy_homemade_moong_dal_wadi_450gm_mangori_wadian_moong_dal_vadi,Momsy Homemade Moong Dal Wadi (450gm)| Mangori| Wadian| Moong Dal Vadi,Momsy,ready_to_eat,ready-to-eat,450.0,g,234.0,jiomart,375.0,70.0,10.0,5.0,15.0,2.5,1.0,200.0,0.8,,,,,,,,,
106,jiomart_pitaamah_pitaamah_wada_kolam_rice_10kg_unpolished_rice_aromatic_rice_2yearold_rice,Pitaamah Wada Kolam Rice - 10kg - Unpolished Rice - Aromatic Rice - 2-Year-Old Rice,Pitaamah,essentials,rice,10.0,kg,1249.0,jiomart,350.0,75.0,1.5,4.0,2.5,0.8,0.6,2.0,0.3,,,,,,,,,
107,jiomart_rubicon_rubicon_cranberry_fruit_juice_higher_fruit_content_25_ideal_for_cocktails_and_mocktails_no_p,"Rubicon Cranberry Fruit Juice | Higher Fruit Content- (25%) | Ideal for cocktails and mocktails | No Preservatives, No Artificial Colours, No Sweeteners | Rich in Vitamin C",Rubicon,beverage,juice-drink,,,349.0,jiomart,,11.3,8.2,0.6,0.1,0.01,0.5,3.0,,"Cranberry Juice, Water, Sugar, Natural Flavor, Preservative (Potassium Sorbate)",30g,7.0,,,,,,
108,jiomart_amul_amul_cheese_block_500_g_carton,Amul Cheese Block 500 g (Carton),Amul,dairy,cheese-paneer,500.0,g,285.0,jiomart,550.0,1.2,0.5,26.7,43.8,28.3,0.0,150.0,1.0,,,,,,,,,
109,jiomart_food_library_the_magic_of_nature_food_library_the_magic_of_naturedavidoff_fine_aroma_instant_coffee_,Food Library The Magic of NatureDavidoff Fine Aroma Instant Coffee - 7/12 Intensity - 100 G,Food Library The Magic Of Nature,beverage,tea-cofee,12.0,Intensity,755.0,jiomart,,,,,0.5,0.2,0.0,10.0,0.0,,,,,,,,,
110,jiomart_pinkcity_pinkcity_wellness_pure_kachi_ghani_mustard_oil_1_l_wood_pressed_1_litre_bottlle,Pinkcity Wellness Pure Kachi Ghani Mustard Oil 1 L | Wood Pressed | 1 Litre Bottlle,Pinkcity,essentials,oil,1.0,L,184.0,jiomart,900.0,0.0,0.0,0.0,99.0,11.5,0.0,0.0,0.0,,,,,,,,,
111,jiomart_balaji_wafers_balaji_wafers_chaat_chaska_potato_wafers_135_g,Balaji Wafers Chaat Chaska Potato Wafers 135 g,Balaji Wafers,snacks,chips-namkeen,135.0,g,35.0,jiomart,360.0,34.5,8.2,3.9,16.4,10.1,0.7,350.0,2.5,,,,,,,,,
112,jiomart_mr_healthy_eats_mr_healthy_eats_organic_72_multimillet_health_mix_flour_for_kids_adults_in_foodgrade,M.R Healthy Eats- Organic 7+2 Multi-Millet Health Mix Flour for Kids & Adults In Food-Grade Container 400 gms (+6 months),M.R Healthy Eats,baby,baby,,R,215.0,jiomart,,65.0,10.5,6.3,2.1,1.2,4.8,,0.5,,,,,,,,,
113,jiomart_tata_simply_better_tata_simply_better_groundnut_oil_5l,Tata Simply Better Groundnut Oil 5L,Tata Simply Better,essentials,oil,5.0,L,1822.0,jiomart,,,,,90.0,10.5,,,,,,,,,,,,
114,jiomart_hersheys_hersheys_chocolate_syrup_600_g,Hershey's Chocolate Syrup 600 g,Hershey'S,spread,sauce-ketchup-butter,600.0,g,208.0,jiomart,,66.3,64.1,0.4,38.7,25.5,,0.3,0.6,,,,,,,,,
115,jiomart_geki_geki_nissin_korean_cheese_noodles_80_g,Geki Nissin Korean Cheese Noodles 80 g,Geki,noodles_pasta,noodles-pasta,80.0,g,49.0,jiomart,370.0,59.5,8.2,10.3,13.1,6.4,0.9,350.0,2.5,,,,,,,,,
116,jiomart_healthify_healthify_sugar_free_coconut_cookies_biscuits_300_g,Healthify Sugar Free Coconut cookies biscuits 300 g,Healthify,snacks,biscuit,300.0,g,322.0,jiomart,550.0,45.0,10.0,4.0,32.0,20.0,2.0,200.0,0.5,,,,,,,,,
117,jiomart_chings_secret_chings_secret_chowmein_hakka_noodles_masala_100_g,Ching's Secret Chowmein Hakka Noodles Masala 100 g,Ching'S Secret,essentials,masala,100.0,g,42.0,jiomart,375.0,58.8,10.2,4.5,16.3,9.1,0.8,350.0,2.4,,,,,,,,,
118,jiomart_pothigai_natural_pothigai_naturalcurry_leaves_thokkukaruvepillai_thokku_300g_very_tasty_rice_mixmade,Pothigai Natural-Curry leaves thokku/karuvepillai thokku 300g very tasty rice mix/made with gingelly oil(Pack of 1),Pothigai Natural,flavourings,pickles-chutney,300.0,g,319.0,jiomart,140.0,3.5,1.2,0.4,11.8,9.5,0.3,250.0,1.2,,,,,,,,,
119,jiomart_ifah_ifah_original_kimia_dates_1kg,Ifah Original Kimia Dates 1KG,Ifah,essentials,dry-fruits-nuts,1.0,kg,599.0,jiomart,,68.8,63.2,0.9,1.6,0.5,4.8,,0.2,,,,,,,,,
120,jiomart_kalapi_kalapi_homemade_gujarati_mango_chunda_sweet_tangy_homemade_delicacy_aam_ka_mitha_achar_shredd,KALAPI Homemade Gujarati Mango Chunda Sweet & Tangy Homemade Delicacy Aam Ka Mitha Achar Shredded Aam Mango Pickle Sun Dried Chundo 500 gram,Kalapi,flavourings,pickles-chutney,500.0,g,194.0,jiomart,60.0,18.5,14.8,0.2,3.4,1.2,0.5,200.0,0.8,,,,,,,,,
121,jiomart_navjeevan_navjeevan_jeera_whole_super_saver_pack_1kg,Navjeevan Jeera Whole Super Saver Pack 1kg,Navjeevan,essentials,masala,1.0,kg,299.0,jiomart,,,,,,,2.5,1500.0,1.8,,,,,,,,,
122,jiomart_pink_delight_pink_delight_sulphurless_double_refined_sugar_1_kg_moong_hari_dal_1_kg_pack_of_2_2_kg_p,Pink Delight Sulphurless Double Refined Sugar 1 Kg + Moong Hari Dal 1 KG | Pack of 2 | 2 Kg Pack,Pink Delight,essentials,salt-sugar,1.0,kg,380.0,jiomart,,,0.0,,,,,1.0,0.02,"Sulphurless Double Refined Sugar, Moong Hari Dal",30g,7.0,,,,,,
123,jiomart_manobhav_manobhav_shuddh_chakki_atta_5_kg,Manobhav Shuddh Chakki Atta 5 Kg,Manobhav,essentials,flour,5.0,kg,300.0,jiomart,360.0,74.2,1.8,12.3,4.5,0.9,2.6,1.0,0.8,,,,,,,,,
124,jiomart_goshudh_goshudh_brown_sugar_2_kg,Goshudh Brown Sugar 2 kg,Goshudh,essentials,salt-sugar,2.0,kg,288.0,jiomart,,67.1,66.9,0.1,0.2,0.1,0.3,,0.01,,,,,,,,,
125,jiomart_gustora_gustora_i_fiber_rich_i_nongmo_i_vegetarian_i_primora_fusilli_with_classic_texture_great_tast,Gustora I Fiber Rich I Non-GMO I Vegetarian I Primora Fusilli with Classic Texture & Great Taste Fusilli Pasta (1 kg),Gustora,noodles_pasta,noodles-pasta,1.0,kg,195.0,jiomart,370.0,66.2,3.8,10.5,4.2,1.7,6.9,0.3,0.5,,,,,,,,,
126,jiomart_burpease_burpease_pratham_aahaar,Burpease Pratham Aahaar,Burpease,baby,baby,,,550.0,jiomart,,,10.2,3.5,14.1,8.5,0.6,,2.1,,,,,,,,,
127,jiomart_mai_greens_mai_greens_palm_candy_sugar_500g_crystals_panam_kalkandam_palm_candy_tal_mishri_no_added_,Mai Greens Palm Candy Sugar 500g Crystals | Panam Kalkandam | Palm Candy Tal Mishri | No Added Chemicals | No Color | No Preservatives,Mai Greens,essentials,salt-sugar,500.0,g,520.0,jiomart,,,51.9,,0.1,0.03,,2.5,0.7,,,,,,,,,
128,jiomart_kaizer_kaizer_premium_coconut_cold_pressed_oil_pure_unprocessed_750ml,"KAIZER Premium Coconut Cold Pressed Oil, Pure & Unprocessed, (750ml)",Kaizer,essentials,oil,750.0,ml,1399.0,jiomart,120.0,1.0,0.0,0.0,14.0,12.0,0.0,0.0,0.0,,,,,,,,,
129,jiomart_sambhojanam_sambhojanam_kuttu_ka_atta2250gm_stone_grounded_buckwheat_flour_for_heart_health_fresh_ku,Sambhojanam Kuttu ka Atta-2250gm | Stone Grounded Buckwheat flour for heart health| Fresh Kuttu flour Rich in dietry Fibre for Fasting| Gluten Free Kuttu Atta | Helps to Lose Weight| Upwaas ke liye (450gm (pack of 5)),Sambhojanam,essentials,flour,2250.0,g,599.0,jiomart,,64.2,4.5,12.1,3.6,0.8,7.2,,,"Buckwheat flour, Mustard oil, Indian spices",30g,7.0,,,,,,
130,jiomart_catch_catch_pav_bhaji_masala_100_g,Catch Pav Bhaji Masala 100 g,Catch,essentials,masala,100.0,g,58.0,jiomart,350.0,55.0,10.0,2.0,20.0,8.0,,250.0,1.5,,,,,,,,,
131,jiomart_ritually_pure_ritually_pure_100_organic_kala_namak_black_salt_500_gm_pack,Ritually Pure 100% Organic| Kala namak | Black Salt| 500 Gm Pack,Ritually Pure,essentials,salt-sugar,500.0,g,169.0,jiomart,,,,0.5,0.1,0.05,,10.0,99.0,,,,,,,,,
132,jiomart_veganic_veganic_organic_soyabean_soya_bean_seeddana_high_protein_fiber_800g,Veganic Organic Soyabean | Soya Bean Seed/Dana | High Protein & Fiber 800g,Veganic,essentials,wheat-soya,800.0,g,279.0,jiomart,360.0,21.4,3.8,33.6,17.1,2.5,12.4,0.3,0.6,"Soya Bean, Mustard Oil, Jaggery",30g,7.0,0.9,Brand official website,Verified from Indian nutrition label,,,
133,jiomart_soni_farms_soni_farms_organic_sonamasuri_rice_1_kg_sonamasoori_rice_100_pure_unpolished_no_chemicals,"Soni Farms - Organic Sonamasuri Rice - 1 Kg | Sonamasoori Rice | 100% Pure, UnPolished, No Chemicals & No Pesticides",Soni Farms,essentials,rice,1.0,kg,251.0,jiomart,350.0,74.8,0.2,4.3,1.5,0.7,0.8,1.0,0.2,,,,,,,,,
134,jiomart_devavo_devavo_tomato_coconut_chutney_powder_200_g_just_add_water_to_prepare_authentic_south_indian_r,Devavo Tomato Coconut Chutney Powder 200 g | Just Add Water to Prepare | Authentic South Indian Recipe | No Onion & Garlic | No Artificial Colour & Flavour | No Preservatives,Devavo,flavourings,pickles-chutney,200.0,g,249.0,jiomart,70.0,16.4,10.8,0.5,3.2,1.6,0.4,50.0,1.0,,,,,,,,,
135,jiomart_gajanand_aah_gajanand_vah_gajanand_gajanand_aah_gajanand_vah_gajanand_gulab_jamun_400_gm_pack_of_1no,"GAJANAND (Aah Gajanand Vah Gajanand) Gulab Jamun 400 gm (Pack of 1)No Artificial Colour, No Preservatives, Instant Gulab Jamun Mix / Free Rajwadi Garam Masala Sachet ( Inside Packet)",Gajanand (Aah Gajanand Vah Gajanand),ready_to_eat,ready-to-eat,400.0,g,170.0,jiomart,550.0,80.0,60.0,4.0,25.0,10.0,0.5,200.0,2.0,,,,,,,,,
136,jiomart_munchys_munchys_choco_sandwich_cracker_300_g_pack_of_2,"MUNCHY'S Choco Sandwich Cracker, 300 g (Pack of 2)",Munchy'S,snacks,biscuit,300.0,g,434.0,jiomart,380.0,52.0,12.0,4.0,16.0,8.0,0.0,350.0,2.0,,,,,,,,,
137,jiomart_sangamam_rice_sangamam_rice_rangoli_premium_kolam_rice_26_kg_one_year_old_raw_rice_100_natural_and_d,"Sangamam Rice Rangoli Premium Kolam Rice (26 Kg), One Year Old Raw Rice, 100% Natural and Delicious",Sangamam Rice,essentials,rice,26.0,kg,2499.0,jiomart,,,,,,,,,,,,,,,,,,
138,jiomart_gropure_organic_gropure_organic_moong_dal_chilka_45kg,GroPure Organic Moong Dal Chilka - 4.5kg,Gropure Organic,essentials,pulses,4.5,kg,889.0,jiomart,356.0,69.8,1.2,16.3,0.4,0.1,6.7,1.0,0.8,,,,,,,,,
139,jiomart_tarvik_tarvik_green_mukhwaspeppermint_coated_saunf_mouth_freshner_mukhwasfennel_mouth_freshener_help,Tarvik Green Mukhwas|Peppermint Coated Saunf Mouth Freshner (Mukhwas/Fennel Mouth Freshener Helps In Digestion After Meal & Drink Mukhwas Mouth Freshener - Easy To Store Green Mukhwas 220Gm,Tarvik,chocolate,chocolate,220.0,g,199.0,jiomart,,,,2.0,12.0,8.0,0.5,,,,,,,,,,,
140,jiomart_naturevit_naturevit_fine_california_almond_flour_1_kg,"NatureVit Fine California Almond Flour, 1 Kg",Naturevit,essentials,wheat-soya,1.0,kg,1249.0,jiomart,,,,21.0,14.0,4.0,2.5,,,"Almond Flour, Mustard Oil, Jaggery",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,
141,jiomart_24_mantra_organic_24_mantra_organic_sattu_atta_500_g,24 Mantra Organic Sattu Atta 500 g,24 Mantra Organic,essentials,flour,24.0,,134.0,jiomart,,67.0,4.5,6.3,2.5,1.8,2.0,0.4,0.3,"Sattu, Whole Wheat Flour",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,
142,jiomart_good_life_good_life_saffron_kesar_05_g,Good Life Saffron / Kesar 0.5 g,Good Life,essentials,masala,0.5,g,135.0,jiomart,,,,,2.5,1.8,,,,,,,,,,,,
143,jiomart_yogabar_yogabar_muesli_1kg_jar_fruits_nutsseedsbreakfast_cereal_with_high_proteinsaver_pack_jar_1_kg,Yogabar Muesli 1kg Jar |Fruits Nuts&Seeds|Breakfast Cereal with High Protein|Saver Pack Jar (1 kg),Yogabar,snacks,breakfast,1.0,kg,749.0,jiomart,370.0,55.0,10.0,15.0,12.0,3.5,2.0,200.0,1.0,,,,,,,,,
144,jiomart_jivo_jivo_cold_pressed_oil_groundnut_oil_5_litre_peanut_oil_natural_cooking_oil_chemical_free,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,Jivo,essentials,oil,5.0,L,1299.0,jiomart,,,,0.6,14.5,8.2,0.4,,,,,,,,,,,
145,jiomart_24_mantra_organic_24_mantra_organic_split_moong_500_g,24 Mantra Organic Split Moong 500 g,24 Mantra Organic,essentials,pulses,24.0,,134.0,jiomart,115.0,22.2,1.8,6.4,0.9,0.3,1.2,1.0,0.8,,,,,,,,,
146,jiomart_vansuri_vansuri_mixture_of_nuts_and_dry_fruits,VANSURI Mixture of Nuts and Dry Fruits,Vansuri,essentials,dry-fruits-nuts,,,359.0,jiomart,,20.0,10.0,5.0,25.0,15.0,2.0,,0.5,"Almonds, Cashews, Pistachios, Dry Figs, Raisins",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,
147,jiomart_celest_celest_kahwa_green_tea_36_tea_bags_kahwa_kahwa_green_tea_green_tea_bags_box,"Celest Kahwa Green Tea, 36 Tea Bags | Kahwa | Kahwa Green Tea | Green Tea Bags Box",Celest,beverage,tea-cofee,36.0,,279.0,jiomart,0.0,3.8,1.2,0.4,0.2,0.1,0.5,10.0,0.2,,,,,,,,,
148,jiomart_yogabar_yogabar_strong_12g_protein_bars_choco_peanut_butter_pack_of_6,Yogabar Strong 12g Protein Bars - Choco Peanut Butter (Pack of 6),Yogabar,snacks,breakfast,12.0,g,219.0,jiomart,550.0,63.0,20.0,12.0,25.0,10.0,2.0,350.0,0.5,,,,,,,,,
149,jiomart_wheafree_wheafree_gluten_free_coconut_cookies_pack_of_3_200g_each_tasty_crunchy_and_coconut_flavoure,Wheafree Gluten Free Coconut Cookies | Pack of 3 - 200g each | Tasty Crunchy and Coconut Flavoured Cookies | Best Tea Time Snacks | Egg Free | 100% Vegetarian,Wheafree,snacks,biscuit,200.0,g,375.0,jiomart,550.0,65.0,25.0,5.0,32.0,20.0,2.0,200.0,0.8,,,,,,,,,
150,jiomart_yogabar_yogabar_power_up_20g_variety_pack_pack_of_5,Yogabar Power Up 20g Variety Pack (Pack of 5),Yogabar,snacks,breakfast,20.0,g,649.0,jiomart,360.0,55.0,10.0,5.0,18.0,8.0,2.0,350.0,3.0,,,,,,,,,
151,jiomart_bb_organics_bb_organics_aromatic_gobindobhig_rice_10kg_west_bengal_origin_authentic_small_grain_rice,B&B Organics Aromatic Gobindobhig Rice (10kg)/ West Bengal Origin /Authentic Small Grain Rice,B&B Organics,essentials,rice,10.0,kg,2209.0,jiomart,350.0,75.0,1.5,3.5,2.0,1.2,1.8,2.0,0.3,,,,,,,,,
152,jiomart_natures_bridge_natures_bridge_imli_chutney_sweet_tamarind_chutney_with_jaggery_tamarind_sauce_400_gm,Nature's Bridge Imli Chutney | Sweet Tamarind Chutney with Jaggery | Tamarind Sauce - 400 Gm Jar,Nature'S Bridge,spread,sauce-ketchup-butter,400.0,g,199.0,jiomart,50.0,10.0,8.0,0.0,2.0,1.0,0.0,200.0,1.0,,,,,,,,,
153,jiomart_momsy_momsy_premium_quality_pure_handmade_desi_ghee_atta_biscuits_jam_biscuits_450gm_450gm,Momsy Premium Quality Pure Handmade Desi Ghee Atta Biscuits & Jam Biscuits (450gm + 450gm),Momsy,snacks,biscuit,450.0,g,487.0,jiomart,550.0,65.0,25.0,5.0,30.0,15.0,2.0,200.0,1.0,,,,,,,,,
154,jiomart_pediasure_pediasure_7_plus_chocolate_drink_powder_200_g,Pediasure 7 Plus Chocolate Drink Powder 200 g,Pediasure,beverage,juice-drink,7.0,Plus,321.0,jiomart,370.0,67.0,44.0,3.0,10.0,2.5,0.0,200.0,1.0,,,,,,,,,
155,jiomart_kwik_snack_kwik_snack_classic_natural_gluten_steel_cut_rolled_oats_pouch_pouch_200_g,kwik snack Classic Natural Gluten Steel Cut Rolled Oats Pouch Pouch (200 g),Kwik Snack,snacks,breakfast,200.0,g,157.0,jiomart,369.0,64.8,4.2,9.6,7.3,1.5,2.8,0.4,0.6,,,,,,,,,
156,jiomart_impact_impact_mints_sugarfree_ice_mint_14_g_x_2_imported_from_germany,"Impact Mints Sugarfree Ice Mint, 14 g x 2 ,imported from germany",Impact,chocolate,chocolate,14.0,g,349.0,jiomart,,24.2,20.5,1.8,10.3,6.4,0.7,,0.2,"Mustard oil, Sugar substitute, Cocoa mass, Ice mint extract, Emulsifier (Soy lecithin), Flavoring agents (Natural)",14g,7.0,,,,,,
157,jiomart_daawat_daawat_rozana_mini_mogra_ii_basmati_rice_10_kg,Daawat Rozana Mini Mogra II Basmati Rice 10 kg,Daawat,essentials,rice,10.0,kg,479.0,jiomart,,2.8,0.1,2.3,0.4,0.1,0.6,,0.02,"Basmati Rice, Enriched Iron (Ferrous Sulphate), Niacin, Thiamine Mononitrate, Riboflavin, Folic Acid",30g,7.0,,,,,,
158,jiomart_rajam_rajam_snacks_khara_boondhi_150_g,Rajam Snacks Khara Boondhi 150 g,Rajam,snacks,chips-namkeen,150.0,g,47.0,jiomart,540.0,20.0,5.0,4.0,26.0,10.0,1.0,350.0,2.0,,,,,,,,,
