batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,- energy_kcal_per_100g,- carbs_g_per_100g,- total_sugars_g_per_100g,- protein_g_per_100g,- fat_g_per_100g,- saturated_fat_g_per_100g,- fiber_g_per_100g,- sodium_mg_per_100g,- salt_g_per_100g
74,jiomart_double_horse_double_horse_1_hour_idlidosa_batter_premix_500g_pack_of_5,Double Horse 1 Hour Idli/Dosa Batter Pre-Mix 500g (Pack Of 5),Double Horse,essentials,flour,1.0,Hour,345.0,jiomart,369.0,74.2,7.8,4.9,14.1,3.6,0.5,2.8,4.9,,,,,,,,,,,,,,,
75,jiomart_naturefest_naturefest_natural_premium_long_grain_basmati_rice_2kg_1121_natural_aroma,NatureFest Natural Premium long Grain Basmati Rice 2kg (1121 - Natural Aroma),Naturefest,essentials,rice,2.0,kg,349.0,jiomart,109.0,2.5,0.1,1.8,0.4,0.1,0.7,0.2,0.05,,,,,,,,,,,,,,,
76,jiomart_pink_delight_pink_delight_raw_peanuts_unpolished_peanuts_mumfali_ground_nut_1_kg_pack,Pink Delight | Raw Peanuts | Unpolished Peanuts | Mumfali | Ground Nut | 1 Kg Pack,Pink Delight,essentials,pulses,1.0,kg,310.0,jiomart,,,,22.2,13.3,7.5,1.8,0.4,,,,,,,,,,,,,,,,
77,jiomart_parle_parle_hide_seek_chocolate_chip_cookies_100_g,Parle Hide & Seek Chocolate Chip Cookies 100 g,Parle,snacks,biscuit,100.0,g,20.0,jiomart,550.0,64.0,24.0,4.0,34.0,18.0,1.0,250.0,2.0,,,,,,,,,,,,,,,
78,jiomart_borges_borges_extra_virgin_olive_oil_250_ml,Borges Extra Virgin Olive Oil 250 ml,Borges,essentials,oil,250.0,ml,349.0,jiomart,,,0.1,0.0,21.2,14.8,0.2,,0.1,"Mustard Oil, Sunflower Oil, Safflower Oil, Olive Oil, Salt",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,
79,jiomart_ahaar_ahaar_barley_daliya_400g_jau_ka_daliya_nutritious_dalia_barley_porridge_200g_each_x_pack_2,Ahaar Barley Daliya 400g | Jau Ka Daliya | Nutritious Dalia | Barley Porridge (200g Each X Pack 2),Ahaar,essentials,flour,400.0,g,252.0,jiomart,375.0,73.8,4.1,10.3,2.9,0.7,6.5,1.0,0.4,,,,,,,,,,,,,,,
80,jiomart_ahaar_ahaar_premium_nutritious_rajma_red_1_kg,Ahaar Premium Nutritious Rajma Red 1 Kg,Ahaar,essentials,pulses,1.0,kg,276.0,jiomart,375.0,69.2,4.5,15.6,1.8,0.9,7.2,10.0,0.5,,,,,,,,,,,,,,,
81,jiomart_indrizo_indrizo_premium_raw_rice_5kg,INDRIZO Premium Raw Rice - 5Kg,Indrizo,essentials,rice,5.0,kg,650.0,jiomart,,2.8,0.1,3.7,0.6,0.4,0.8,,0.2,,,,,,,,,,,,,,,
82,jiomart_veganic_veganic_organic_corn_daliya_healthy_breakfast_makkai_makki_makai_dalia_makke_ka_attamokkajon,Veganic Organic Corn Daliya | Healthy Breakfast |Makkai/ Makki/ Makai Dalia | Makke ka Atta/Mokkajonna | Gluten Free 200g,Veganic,snacks,chips-namkeen,200.0,g,129.0,jiomart,350.0,70.0,10.0,4.0,15.0,3.0,2.0,200.0,1.0,,,,,,,,,,,,,,,
83,jiomart_freshocartz_freshocartz_organic_dhaga_mishri_thread_mishri_crystal_sugar_rock_sugar_misri_mishri_sug,FreshoCartz Organic Dhaga Mishri | Thread Mishri | Crystal Sugar | Rock Sugar | Misri | Mishri | Sugar,Freshocartz,essentials,salt-sugar,,,149.0,jiomart,,,60.0,1.5,2.5,1.8,0.5,,,,,,,,,,,,,,,,,
84,jiomart_nutty_harvest_nutty_harvest_choco_nut_spread_500gm_chocolate_smooth_creamy_hazelnut_cocoa_spread_for,"NUTTY HARVEST Choco & Nut Spread 500GM - Chocolate Smooth | Creamy Hazelnut Cocoa Spread for Bread, Roti, Pancakes & Snacks | Rich & Velvety Texture",Nutty Harvest,spread,sauce-ketchup-butter,500.0,g,249.0,jiomart,550.0,63.5,45.8,4.2,37.3,20.1,0.7,150.0,0.5,,,,,,,,,,,,,,,
85,jiomart_natraj_the_right_choice_natraj_the_right_choice_amla_murabba_500gm_pack_of_2_1kg_refreshing_and_tast,Natraj The Right Choice AMLA Murabba 500gm (Pack of 2) = 1kg | Refreshing and Tasty | Immunity Booster,Natraj The Right Choice,flavourings,pickles-chutney,500.0,g,430.0,jiomart,270.0,64.0,54.0,2.0,13.0,3.0,0.0,150.0,1.0,,,,,,,,,,,,,,,
86,jiomart_pristine_pristine_1st_bites_baby_food_300g_1024_months_100_organic_ragi_strawberry_apple_powder_pack,"Pristine 1st BITES Baby Food 300g| (10-24 Months) 100% Organic Ragi, Strawberry & Apple Powder (Pack of 5)",Pristine,baby,baby,1.0,,1850.0,jiomart,375.0,60.0,20.0,3.5,12.5,7.5,2.0,10.0,1.0,,,,,,,,,,,,,,,
87,jiomart_innum_konjam_innum_konjam_varagu_rice_500gm_varagu_rice_koden_kodra_arikelu_harka_koovaragu,Innum Konjam Varagu Rice - 500GM ( Varagu Rice| Koden| Kodra| Arikelu| Harka| Koovaragu),Innum Konjam,essentials,rice,500.0,g,242.0,jiomart,350.0,74.5,1.2,6.8,0.7,0.4,0.5,1.0,0.2,,,,,,,,,,,,,,,
88,jiomart_aryionuts_aryionuts_premium_quality_green_pumpkin_seeds_250_gm_seeds_for_eating_fresh_and_healthy_ra,ARYIONUTS Premium Quality Green Pumpkin Seeds 250 Gm | Seeds for Eating | Fresh And Healthy Raw Pumpkin Seed | Diet Food Seed,Aryionuts,essentials,dry-fruits-nuts,250.0,g,179.0,jiomart,579.0,14.2,1.8,31.9,48.6,3.5,4.2,0.1,0.02,,,,,,,,,,,,,,,
89,jiomart_piyor_piyor_california_roasted_salted_pistachios_1000_g_pista_dry_fruits,PIYOR California Roasted Salted Pistachios 1000 g | Pista Dry Fruits,Piyor,essentials,dry-fruits-nuts,1000.0,g,996.0,jiomart,575.0,21.2,4.6,14.9,44.8,7.3,5.2,0.4,1.6,,,,,,,,,,,,,,,
90,jiomart_gropure_organic_gropure_organic_brown_sugar_18kg,GroPure Organic Brown Sugar - 1.8kg,Gropure Organic,essentials,salt-sugar,1.8,kg,369.0,jiomart,369.0,78.8,77.2,0.1,0.3,0.1,0.5,,0.2,,,,,,,,,,,,,,,
91,jiomart_yum_yum_yum_yum_dry_fruits_combo_750_g_kaju_pista_badam_akhrot_kishmish_almonds_pistachios_cashews_r,"YUM YUM Dry Fruits Combo 750 g Kaju, Pista, Badam, Akhrot & Kishmish Almonds, Pistachios, Cashews, Raisins, Walnuts (5 x 150 g)",Yum Yum,essentials,dry-fruits-nuts,,g,849.0,jiomart,,63.4,23.1,12.3,44.2,8.5,7.9,0.6,1.3,"Kaju, Pista, Badam, Akhrot & Kishmish",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,
92,jiomart_ahaar_ahaar_healthy_oats_flour_500g_jaee_atta_high_in_protein_fibre,Ahaar Healthy Oats Flour 500g | Jaee Atta | High in Protein & Fibre,Ahaar,essentials,flour,500.0,g,140.0,jiomart,360.0,65.0,4.0,10.0,8.0,1.5,6.0,0.2,0.3,,,,,,,,,,,,,,,
93,jiomart_kalapi_kalapi_sweet_mango_pickle_traditional_aam_ka_meetha_achar_added_preservative_1_kg,KALAPI Sweet Mango Pickle Traditional Aam Ka Meetha Achar Added Preservative 1 kg,Kalapi,flavourings,pickles-chutney,1.0,kg,300.0,jiomart,55.0,12.0,8.0,0.2,3.5,1.5,0.5,200.0,1.0,,,,,,,,,,,,,,,
94,jiomart_bansiram_bansiram_namkeen_tikha_mitha_mix_sweet_spicy_mixture_flavorful_snacks_nadiyadi_mix_traditio,Bansiram Namkeen | Tikha Mitha Mix | Sweet & Spicy Mixture| Flavorful Snacks & Nadiyadi Mix | Traditional Gujarati Snack | Spiced Party Mix| Tea-Time Munchies (2 x 400gm) Combo Pack - 800 gm,Bansiram,snacks,chips-namkeen,,g,249.0,jiomart,540.0,66.0,23.0,7.0,29.0,9.0,2.0,350.0,3.0,,,,,,,,,,,,,,,
95,jiomart_laxmi_laxmi_daily_feast_500_gm_desi_val_vaal_mochai_lima_double_beans,Laxmi Daily Feast 500 gm Desi Val | Vaal | Mochai | Lima Double Beans,Laxmi,essentials,pulses,500.0,g,279.0,jiomart,375.0,69.8,4.2,14.9,16.1,3.6,7.8,0.5,0.4,,,,,,,,,,,,,,,
96,jiomart_a_mangals_a_mangals_nescafe_sunrise_coffee_powder_special_catering_pack_of_2_each_200g_instant_coffe,A. Mangals Nescafe Sunrise COFFEE POWDER SPECIAL CATERING PACK OF 2 (EACH 200G) Instant Coffee,A. Mangals,beverage,tea-cofee,,Mangals,890.0,jiomart,350.0,40.0,38.0,4.0,19.0,12.0,0.0,150.0,2.0,,,,,,,,,,,,,,,
97,jiomart_golden_tree_golden_tree_premium_medjoul_dates_naturally_sweet_juicy_rich_energy_snack_perfect_for_gi,Golden Tree Premium Medjoul Dates | Naturally Sweet & Juicy | Rich Energy Snack | Perfect for Gifting & Healthy Lifestyle | Fresh & Delicious Dates 500gm,Golden Tree,essentials,dry-fruits-nuts,500.0,g,599.0,jiomart,,64.2,54.8,1.5,0.4,0.1,3.9,,0.2,,,,,,,,,,,,,,,
98,jiomart_city_salt_city_salt_sprinkler_rock_salt_11_kg,City Salt Sprinkler Rock Salt 11 KG,City Salt,essentials,salt-sugar,11.0,kg,847.0,jiomart,,,,,,,,1023.0,960.0,,,,,,,,,,,,,,,
99,jiomart_borges_borges_olive_oil_for_indian_cooking_5l_pet,Borges Olive oil for Indian Cooking (5L Pet),Borges,essentials,oil,5.0,L,5725.0,jiomart,,,,,14.5,8.2,,0.1,0.05,,,,,,,,,,,,,,,
100,jiomart_surya_surya_1200gm_pickles_combo_mango_pickle_200gm_tomato_pickle_200gmlime_pickle_200gmmixveg_pickl,"Surya 1200gm pickles combo | Mango pickle 200gm ,Tomato pickle 200gm,Lime pickle 200gm,mixveg pickle 200gm,Amla pickle 200gm,Gongura pickle 200gm | (Pack of 6 ; 200gmx6)",Surya,flavourings,pickles-chutney,1200.0,g,339.0,jiomart,,6.1,4.5,0.3,12.2,8.5,0.6,320.0,4.1,"mustard oil, jaggery, Indian spices",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,
101,jiomart_bharat_super_foods_bharat_super_foods_whole_cashew_nuts_w320_premium_big_size_kaju_250gm_jar_pack,Bharat Super Foods Whole Cashew Nuts W320 - Premium Big Size Kaju - 250gm Jar Pack,Bharat Super Foods,essentials,dry-fruits-nuts,250.0,g,349.0,jiomart,575.0,12.0,2.5,14.0,55.0,9.0,4.0,,0.1,,,,,,,,,,,,,,,
102,jiomart_green_piece_green_piece_jain_sauce_with_no_oniongarlic_green_chilli_saucecatchup_500gm_x_2_pack_of_2,Green Piece Jain Sauce With No Onion/Garlic Green Chilli Sauce/Catchup .(500gm x 2) (Pack of 2),Green Piece,spread,sauce-ketchup-butter,500.0,g,269.0,jiomart,64.0,10.0,5.0,0.2,4.0,1.5,0.5,250.0,3.0,,,,,,,,,,,,,,,
103,jiomart_natrixeed_natrixeed_rajasthani_natural_ker_dry_sun_dried_capparis_400_gm,NATRIXEED Rajasthani Natural Ker Dry | Sun Dried Capparis | 400 GM,Natrixeed,flavourings,pickles-chutney,400.0,g,682.0,jiomart,370.0,9.5,8.2,0.7,22.3,12.1,0.5,150.0,2.8,,,,,,,,,,,,,,,
104,jiomart_sangamam_rice_sangamam_rice_lucky_horse_gold_sona_masoori_raw_rice_26_kg,"Sangamam Rice, Lucky Horse Gold Sona Masoori Raw Rice (26 Kg)",Sangamam Rice,essentials,rice,26.0,kg,2199.0,jiomart,,2.5,0.1,1.8,0.4,0.2,0.6,,0.02,,,,,,,,,,,,,,,
105,jiomart_simply_smart_simply_smart_unpolished_chilka_moong_dal_500_g,Simply Smart Unpolished Chilka Moong Dal 500 g,Simply Smart,essentials,pulses,500.0,g,77.0,jiomart,369.0,69.4,1.9,16.3,2.8,0.6,5.7,1.0,0.4,,,,,,,,,,,,,,,
106,jiomart_piyor_piyor_california_roasted_salted_pistachios_500_g,PIYOR California Roasted & Salted Pistachios 500 g,Piyor,essentials,dry-fruits-nuts,500.0,g,569.0,jiomart,,,,,55.2,4.1,10.3,0.5,0.8,,,,,,,,,,,,,,,
107,jiomart_momsy_momsy_premium_handmade_950gm_cherry_tutti_frutti_cookies,Momsy Premium Handmade (950gm) Cherry Tutti Frutti Cookies,Momsy,snacks,biscuit,950.0,g,432.0,jiomart,,43.2,23.1,3.5,14.8,9.4,0.6,350.0,2.1,,,,,,,,,,,,,,,
108,jiomart_yogabar_yogabar_power_up_protein_bars_choco_peanut_butter_pack_of_5,Yogabar Power Up Protein Bars - Choco Peanut Butter (Pack of 5),Yogabar,snacks,breakfast,5.0,pack,349.0,jiomart,560.0,65.0,30.0,20.0,25.0,10.0,2.0,350.0,0.5,,,,,,,,,,,,,,,
109,jiomart_handsfull_handsfull_premium_almonds_almond_kernels_kashmiri_almonds_badaam_giri_400g_pack_of_2_x_200,"Handsfull Premium Almonds | Almond Kernels |Kashmiri Almonds | Badaam Giri, 400g (Pack of 2 x 200g)",Handsfull,essentials,dry-fruits-nuts,,g,366.0,jiomart,575.0,21.5,1.4,21.2,51.3,10.8,12.5,0.1,0.2,,,,,,,,,,,,,,,
110,jiomart_good_life_good_life_black_pepper_200_g,Good Life Black Pepper 200 g,Good Life,essentials,masala,200.0,g,265.0,jiomart,,,0.2,0.1,10.5,7.3,0.8,0.2,0.1,,,,,,,,,,,,,,,
111,jiomart_bikaji_bikaji_chowpati_bhelpuri_110_g,Bikaji Chowpati Bhelpuri 110 g,Bikaji,snacks,chips-namkeen,110.0,g,22.0,jiomart,,24.5,11.2,3.1,12.4,7.9,0.8,350.0,2.5,,,,,,,,,,,,,,,
112,jiomart_pansari_pansari_golden_sella_1121_tareeftibar_26kg,Pansari Golden Sella 1121 Tareef/tibar - 26Kg,Pansari,essentials,rice,1121.0,Tareef,1900.0,jiomart,350.0,74.2,1.3,4.5,0.8,0.6,0.2,1.0,0.3,,,,,,,,,,,,,,,
113,jiomart_momsy_momsy_premium_kerala_banana_chips250gm_original_salted_thin_crunchy_crispy_snack,Momsy Premium Kerala Banana Chips(250gm) | Original Salted | Thin Crunchy Crispy Snack,Momsy,snacks,chips-namkeen,250.0,g,208.0,jiomart,540.0,76.0,15.0,2.0,24.0,10.0,1.0,350.0,4.0,,,,,,,,,,,,,,,
114,jiomart_myfitness_peanut_butter_myfitness_peanut_butter_high_protein_dark_chocolate_crunchy_510g_high_protei,MyFitness Peanut Butter High Protein Dark Chocolate Crunchy 510g + High Protein Dark Chocolate Crispy 510g Combo,Myfitness Peanut Butter,spread,sauce-ketchup-butter,510.0,g,638.0,jiomart,,24.5,14.2,15.1,26.3,8.5,4.2,350.0,0.6,"Mustard oil, Sugar, Peanuts, Dark Chocolate, Cocoa powder, Salt, Emulsifier (Soy lecithin), Stabilizer (Gum arabic)",30g,7.0,,,,,,,,,,,,
115,jiomart_bb_organics_bb_organics_bamboo_rice_200_grams_nutrient_and_fibre_richmoongil_arisitraditional_rice,"B&B Organics Bamboo Rice (200 grams), Nutrient and Fibre Rich/Moongil Arisi/Traditional Rice",B&B Organics,essentials,rice,200.0,g,246.0,jiomart,109.0,24.5,0.2,2.3,1.6,0.8,1.5,0.2,0.02,,,,,,,,,,,,,,,
116,jiomart_eatoriyumm_eatoriyumm_black_raisins_100g_indian_kali_kishmish_seedless_dry_grapes_naturally_sweet_ju,EatoriYumm Black Raisins 100g | Indian Kali Kishmish | Seedless Dry Grapes | Naturally Sweet & Juicy Value Pack | Premium Grade Snack Pouch,Eatoriyumm,essentials,dry-fruits-nuts,100.0,g,111.0,jiomart,,22.5,20.9,0.7,0.2,0.1,4.5,,0.02,,,,,,,,,,,,,,,
117,jiomart_mothers_recipe_mothers_recipe_mixed_pickle_1_kg,Mother's Recipe Mixed Pickle 1 kg,Mother'S Recipe,flavourings,pickles-chutney,1.0,kg,126.0,jiomart,56.0,9.2,6.5,1.3,4.8,0.7,0.2,150.0,6.0,,,,,,,,,,,,,,,
118,jiomart_vistevia_vistevia_sugar_free_orange_jam_diabetic_and_keto_friendly_sweetened_naturally_with_stevia_m,"Vistevia Sugar Free Orange Jam, Diabetic and Keto Friendly - Sweetened Naturally with Stevia, More Than 60% Orange Juice Content - Tastes Delicious - Pack of 1 (220GM)",Vistevia,spread,sauce-ketchup-butter,220.0,g,269.0,jiomart,,6.2,1.8,0.2,0.3,0.1,0.5,10.0,0.2,"Stevia, Orange Juice Concentrate, Sugar-Free Sweetener Blend (Sucralose, Acesulfame Potassium), Citric Acid, Preservatives (Potassium Sorbate, Sodium Benzoate)",30g,7.0,,,,,,,,,,,,
119,jiomart_aryionuts_aryionuts_fresh_tutti_frutti_cherries_for_cookies_ice_creams_and_cake_decoration_100g,"Aryionuts Fresh Tutti Frutti, Cherries for Cookies, Ice Creams and Cake Decoration 100g",Aryionuts,chocolate,chocolate,100.0,g,151.0,jiomart,575.0,64.5,52.2,6.1,36.3,23.4,2.5,150.0,0.8,,,,,,,,,,,,,,,
120,jiomart_gajanand_aah_gajanand_vah_gajanand_gajanand_aah_gajanand_vah_gajanand_dosa_breakfast_mix_flour_400g_,"GAJANAND (Aah Gajanand Vah Gajanand) Dosa Breakfast Mix Flour, 400g (Pack of 2) / 100% Vegetarian / No Artificial Flavors / Makes Crisp, Golden-Colored Dosas / For Healthy Snacks / Free Rajwadi Garam Masala Sachet (Inside Pack)",Gajanand (Aah Gajanand Vah Gajanand),ready_to_eat,ready-to-eat,400.0,g,180.0,jiomart,,23.2,3.4,5.1,7.8,1.9,0.6,150.0,2.5,,,,,,,,,,,,,,,
121,jiomart_kissan_kissan_mixed_fruit_jam_500_g,Kissan Mixed Fruit Jam 500 g,Kissan,spread,sauce-ketchup-butter,500.0,g,178.0,jiomart,57.0,16.2,12.8,0.1,3.7,1.6,0.2,50.0,0.5,,,,,,,,,,,,,,,
122,jiomart_kwik_snack_kwik_snack_delicious_fresh_tasty_lime_pickel_nimbu_ka_achaar_lemon_pickle_500_gm,"kwik snack Delicious, Fresh & Tasty LIME PICKEL/ Nimbu Ka Achaar Lemon Pickle - 500 GM",Kwik Snack,flavourings,pickles-chutney,500.0,g,247.0,jiomart,60.0,7.0,6.0,0.5,3.0,1.0,0.2,250.0,2.0,,,,,,,,,,,,,,,
123,jiomart_red_cliff_red_cliff_edible_blue_chocolate_powder_color_for_cakes_desserts_and_confectionery_rich_int,"RED CLIFF Edible Blue Chocolate Powder Color for Cakes, Desserts, and Confectionery - Rich, Intense Dark Cocoa Hue for Professional Baking and Decorating | 10ml ",|Red Cliff,flavourings,pickles-chutney,10.0,ml,169.0,jiomart,,50.0,45.0,2.0,38.0,30.0,,,1.5,,,,,,,,,,,,,,,
124,jiomart_ricewalah_ricewalah_wada_kolam_rice_5kg_bag_aged_rice_unpolished_rice_direct_from_farmers,RiceWalah Wada Kolam Rice | 5kg Bag | Aged Rice | Unpolished Rice | Direct From Farmers,Ricewalah,essentials,rice,5.0,kg,699.0,jiomart,362.0,74.2,0.9,4.3,1.8,0.6,0.5,2.5,0.4,,,,,,,,,,,,,,,
125,jiomart_nestle_nestle_classic_chocolate_bar_28_g,Nestle Classic Chocolate Bar 28 g,Nestle,chocolate,chocolate,28.0,g,14.0,jiomart,550.0,65.5,55.8,2.4,34.9,23.3,0.5,10.0,0.1,"Sugar, Cocoa Mass, Vegetable Fat (Partially Hydrogenated), Milk Powder, Skimmed Milk Powder, Wheat Flour, Soy Lecithin, Emulsifier (Soy Lecithin, Gum Arabic)",28g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,
126,jiomart_kwik_snack_kwik_snack_ott2oats_classic_oats_pouch_pouch_200_g,kwik snack (OTT2-Oats) Classic Oats Pouch Pouch (200 g),Kwik Snack,snacks,breakfast,200.0,g,157.0,jiomart,,45.0,8.5,4.2,3.1,1.9,2.0,,0.5,,,,,,,,,,,,,,,
127,jiomart_dornish_starch_and_additives_private_limited_dornish_starch_and_additives_private_limited_potato_sta,"DORNISH STARCH AND ADDITIVES PRIVATE LIMITED Potato Starch Powder 350 g for Cooking / Thickening Agent for Gravies , Soups / Vegan, Gluten Free, Skin Care",Dornish Starch And Additives Private Limited,essentials,flour,350.0,g,199.0,jiomart,,,,,,,,,,,,,,,,,,,,,,,,
128,jiomart_bb_organics_bb_organics_thooyamalli_rice_3_kg_premium_parboiled_jasmine_ricetraditional_ricekids_spe,"B&B Organics Thooyamalli Rice (3 Kg), Premium Parboiled Jasmine Rice/Traditional Rice/Kids Special",B&B Organics,essentials,rice,3.0,kg,614.0,jiomart,350.0,75.0,1.5,4.0,0.2,0.05,0.6,1.0,0.5,,,,,,,,,,,,,,,
129,jiomart_fab_fab_vanilla_natural_extracts_flavors,Fab Vanilla Natural Extracts Flavors,Fab,flavourings,pickles-chutney,,,1599.0,jiomart,,,,,,,,,,"mustard oil, jaggery, Indian spices",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,
130,jiomart_gustora_gustora_pasta_combo_of_durum_wheat_semolina_quinoa_fusilli_pasta_multi_millet_penne_rigate_p,Gustora Pasta Combo of Durum Wheat Semolina Quinoa Fusilli Pasta & Multi Millet Penne Rigate Pasta I Vegetarian I Rich in Fibre & Protein (500G X2),Gustora,noodles_pasta,noodles-pasta,500.0,g,373.0,jiomart,370.0,72.2,1.4,12.6,3.5,0.9,7.2,250.0,1.8,,,,,,,,,,,,,,,
131,jiomart_fruvanta_fruvanta_schezwan_dipping_chutney_100gm,Fruvanta Schezwan Dipping Chutney. 100gm,Fruvanta,spread,sauce-ketchup-butter,100.0,g,169.0,jiomart,57.0,11.4,8.2,0.6,3.9,1.5,0.4,140.0,2.0,,,,,,,,,,,,,,,
132,jiomart_nescafe_nescafe_espresso100_pure_arabica_instant_coffee_powder_95_gm_imported_from_uk,Nescafe Espresso-100% Pure Arabica instant Coffee Powder 95 Gm - Imported from UK,Nescafe,beverage,tea-cofee,95.0,g,730.0,jiomart,350.0,69.0,63.0,12.0,18.0,11.0,0.5,10.0,0.2,,,,,,,,,,,,,,,
133,jiomart_pristine_pristine_1st_bites_baby_cereal_300g_baby_food624_months_stage1_100_organic_ragi_pack_of_2,"Pristine 1st BITES Baby Cereal 300g| Baby Food(6-24 Months) Stage-1, 100% Organic Ragi Pack of 2",Pristine,baby,baby,1.0,,700.0,jiomart,370.0,73.8,15.9,3.2,13.1,6.5,0.8,10.0,0.3,,,,,,,,,,,,,,,
134,jiomart_gopaldhara_gopaldhara_darjeeling_tea_traditional_broken_tea_bop_regular_series_400g_stand_up_pouch,Gopaldhara Darjeeling Tea - Traditional Broken Tea BOP (Regular Series) 400g Stand Up Pouch,Gopaldhara,beverage,tea-cofee,400.0,g,380.0,jiomart,0.0,3.5,1.2,0.4,0.8,0.4,0.5,,0.2,,,,,,,,,,,,,,,
135,jiomart_ahaar_ahaar_moong_dal_chilka_split_2kg_1kg_x_2_packs,Ahaar Moong Dal Chilka Split 2Kg (1Kg X 2 Packs),Ahaar,essentials,pulses,2.0,kg,299.0,jiomart,369.0,69.2,1.3,15.6,0.7,0.4,5.2,1.8,0.6,,,,,,,,,,,,,,,
136,jiomart_pansari_pansari_soyabean_oil_edible_oil_ideal_for_cooking_healthy_vegetable_oil_5_ltr_can,Pansari Soyabean Oil | Edible Oil Ideal for Cooking | Healthy Vegetable Oil- 5 Ltr Can,Pansari,essentials,oil,5.0,L,949.0,jiomart,120.0,0.0,0.0,6.0,13.5,7.2,0.3,0.0,0.1,"Soyabean, Mustard Oil",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,
137,jiomart_fruvanta_fruvanta_jain_sauce_with_no_oniongarlic_soya_sauce_green_chilli_red_chilli_500gm_x_3_pack_o,"Fruvanta Jain Sauce WIth No Onion/Garlic Soya sauce, Green Chilli & Red Chilli. (500gm x 3) (Pack of 3)",Fruvanta,spread,sauce-ketchup-butter,500.0,g,299.0,jiomart,370.0,12.2,4.5,0.7,34.8,20.1,0.2,350.0,3.5,,,,,,,,,,,,,,,
138,jiomart_add_me_add_me_homemade_spicy_hot_green_chilli_pickle_500_gm_hari_mirch_mirchi_ka_achar_masaledar_pic,Add Me Homemade Spicy Hot Green Chilli Pickle 500 gm Hari Mirch Mirchi ka Achar masaledar Pickles,Add Me,flavourings,pickles-chutney,500.0,g,294.0,jiomart,35.0,8.5,6.2,0.9,3.1,1.4,0.5,250.0,2.0,,,,,,,,,,,,,,,
139,jiomart_shyamg_shyamg_pasta_ready_to_eat_snacks_masala_munch_flavour_3_x_120_g,SHYAMG Pasta Ready to Eat Snacks - Masala Munch Flavour (3 x 120 g),Shyamg,snacks,chips-namkeen,,g,100.0,jiomart,,25.0,2.5,3.0,9.0,1.5,1.0,350.0,2.0,,,,,,,,,,,,,,,
140,jiomart_ritually_pure_rituallypure_100_organic_country_sidebrown_sugar_unrefinded_100_natural_1keach_packof_,RituallyPure 100 %Organic |Country SideBrown Sugar |Unrefinded 100% natural | 1KEach | Packof 2 | 2K,Ritually Pure,essentials,salt-sugar,1.0,KEach,380.0,jiomart,,71.4,67.8,0.1,0.2,0.1,0.6,,0.3,,,,,,,,,,,,,,,
141,jiomart_puramio_puramio_culinary_food_essence_30ml_each_pack_of_10_flavors,"Puramio Culinary Food Essence 30ml each, Pack of 10 Flavors",Puramio,flavourings,pickles-chutney,30.0,ml,360.0,jiomart,,,5.7,0.2,3.8,1.4,0.6,200.0,0.5,,,,,,,,,,,,,,,
142,jiomart_trinetra_trinetra_soya_chunks_1500_g_500g_x_3_pack,Trinetra Soya Chunks 1500 g (500g X 3 Pack),Trinetra,essentials,wheat-soya,1500.0,g,360.0,jiomart,375.0,73.0,5.0,21.0,10.0,1.5,2.0,350.0,0.6,,,,,,,,,,,,,,,
143,jiomart_veganic_veganic_garlic_in_vinegar_sirka_lahsun_sirka_wala_lehsoon_tangy_garlic_pickle_200g,Veganic Garlic In Vinegar | Sirka Lahsun | Sirka Wala Lehsoon | Tangy Garlic Pickle 200g,Veganic,flavourings,pickles-chutney,200.0,g,249.0,jiomart,30.0,8.5,4.2,0.6,1.3,0.9,0.5,150.0,2.0,,,,,,,,,,,,,,,
144,jiomart_pintola_pintola_peanut_butter_chocolate_flavour_crunchy_1kg_186g_protein_52g_dietary_fiber_made_with,"Pintola Peanut Butter Chocolate Flavour Crunchy 1kg - 18.6g Protein & 5.2g Dietary Fiber, Made with Premium Roasted Nuts & Cocoa, Gluten Free, Zero Cholesterol & Trans Fat, Vit E & B3, Dark Chocolate",Pintola,spread,sauce-ketchup-butter,1.0,kg,425.0,jiomart,,24.3,12.1,18.6,16.4,8.2,5.2,,,"Peanut, Sugar, Cocoa Powder, Mustard Oil, B3 (Niacin), E (Vitamin E)",30g,7.0,,,,,,,,,,,,
145,jiomart_trinetra_trinetra_maida_10_kg_pack,Trinetra Maida 10 kg Pack,Trinetra,essentials,flour,10.0,kg,905.0,jiomart,,65.8,0.5,2.6,1.4,0.9,0.8,,0.3,,,,,,,,,,,,,,,
